TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
1.0,Big Lottery Fund,541.17,
0.0,O2,-99.75,1.0
,Lex Autolease,23.55,
0.0,Yell,-125.22,1.0
,City Of York Council,1.88,
0.0,Springcare Ltd,-283.5,1.0
1.0,Prime Life Ltd (Mill House Care Home),373.5,
0.0,Autistic Society,-180.0,1.0
1.0,Bank Of Ireland,1671.75,
,Wilo Uk,1.5,
1.0,The Classroom,123.58,
1.0,Hm Forces,886.5,
1.0,British Army,199.0,
1.0,Cosalt Uk / Servitec,349.0,
1.0,Jays Homecare,606.5,
0.0,Learning World,-111.0,1.0
0.0,The White Company,-1.5,1.0
1.0,Eaton Aerospace,1164.75,
1.0,Kwik Fit,141.5,
1.0,Boal Uk,362.25,
1.0,Elms Bmw ( Bedfordia Group),271.25,
1.0,All Saints Academy Plymouth,236.5,1.0
1.0,Tj Transport,1632.76,
1.0,W & J Dunlop,695.25,
0.0,Alpha Property Limited,-226.0,1.0
,B&Q,74.0,
1.0,Modular Networks,308.06,
1.0,The Orders Of St John Care Trust,300.0,
1.0,Royal Navy,1734.0,
1.0,Nyse Euronext,631.5,
1.0,Sellafield Ltd,112.5,
0.0,Hm Forces,-285.45,
1.0,Card Factory,674.0,
1.0,Mitie Security,641.5,
0.0,Instep Consultancy,-186.0,1.0
0.0,Commvault Systems,-11.0,
0.0,Phones 4 U,-161.0,1.0
1.0,Virginmedia Ltd,294.0,1.0
1.0,Peabody,978.44,
1.0,Next Distribution,297.75,
1.0,Screwfix Direct,114.0,
1.0,Toby Carvery/ Mitchells And Butler,337.75,
